clusterID,ori_lat,ori_lng,dest_lat,dest_lng,flowNum,flowCount
75.0,22.51514023,113.9277927,22.522747369999998,113.92811135,2.0,42.0
76.0,22.49490753,113.9260922,22.50565173,113.9191966,2.0,47.0
77.0,22.51514023,113.9277927,22.50872193,113.9329513,1.0,40.0
78.0,22.50561336,113.9287441,22.50089286,113.92459275,2.0,42.0
79.0,22.49161297,113.9248359,22.4962247,113.9284344,1.0,40.0
80.0,22.50565173,113.9191966,22.49490753,113.9260922,2.0,48.0
81.0,22.523826955,113.948835575,22.54165396,113.96556869999999,4.0,44.0
82.0,22.53210632,113.918518,22.50898084,113.9148553,1.0,39.0
83.0,22.51031448666667,113.92431529999999,22.500891929999998,113.92457943333334,3.0,51.0
84.0,22.49613026,113.9186972,22.49142112,113.9144863,1.0,38.0
85.0,22.51490573,113.9392088,22.510434255,113.92431619999999,2.0,45.0
86.0,22.51985924,113.9229437,22.51007495,113.9243135,1.0,38.0
87.0,22.5229531,113.9281622,22.510434255,113.92431619999999,2.0,38.0
88.0,22.53210632,113.918518,22.52017943,113.9161761,1.0,37.0
89.0,22.519430370000002,113.92264035,22.51490573,113.9392088,2.0,41.0
90.0,22.51490573,113.9392088,22.49490753,113.9260922,2.0,40.0
91.0,22.5326816,113.91905855,22.53117593,113.8972462,2.0,38.0
92.0,22.4962247,113.9284344,22.49109274,113.9198366,1.0,37.0
93.0,22.52285792,113.9177601,22.5229531,113.9281622,1.0,37.0
94.0,22.526953595000002,113.9146614,22.52273163,113.9088695,2.0,40.0
95.0,22.50561336,113.9287441,22.52362644,113.9482447,1.0,37.0
96.0,22.51490573,113.9392088,22.50561336,113.9287441,1.0,36.0
97.0,22.522486727999997,113.90854402,22.535579300000002,113.91245332000001,5.0,41.0
99.0,22.49493817,113.9264529,22.49109274,113.9198366,1.0,35.0
100.0,22.50089007,113.9245528,22.510434255,113.92431619999999,2.0,40.0
101.0,22.522452356666665,113.9084998,22.51445403,113.91841,3.0,37.0
102.0,22.51445403,113.91841,22.51490573,113.9392088,1.0,35.0
103.0,22.51825457,113.9141686,22.51445403,113.91841,1.0,35.0
104.0,22.514813897499998,113.94016145,22.52391702,113.968766,4.0,41.0
105.0,22.52782634,113.9230867,22.52285792,113.9177601,1.0,35.0
106.0,22.49490753,113.9260922,22.49552248,113.914553,2.0,42.0
107.0,22.52285792,113.9177601,22.51825457,113.9141686,1.0,35.0
108.0,22.52391702,113.968766,22.515664055000002,113.93991837500002,4.0,42.0
109.0,22.51825457,113.9141686,22.53210632,113.918518,1.0,35.0
110.0,22.4962247,113.9284344,22.510434255,113.92431619999999,2.0,35.0
111.0,22.52782634,113.9230867,22.522747369999998,113.92811135,2.0,35.0
112.0,22.53210632,113.918518,22.51825457,113.9141686,1.0,34.0
113.0,22.52782634,113.9230867,22.52804613,113.9332156,1.0,34.0
114.0,22.510434255,113.92431619999999,22.4962247,113.9284344,2.0,35.0
115.0,22.51490573,113.9392088,22.51514023,113.9277927,1.0,33.0
116.0,22.519545387500003,113.92310917500001,22.5237443,113.94844495000001,4.0,42.0
117.0,22.51445403,113.91841,22.50561336,113.9287441,1.0,33.0
118.0,22.51514023,113.9277927,22.50561336,113.9287441,1.0,33.0
119.0,22.49552248,113.914553,22.49490753,113.9260922,2.0,40.0
120.0,22.49161297,113.9248359,22.49109274,113.9198366,1.0,32.0
121.0,22.51825457,113.9141686,22.52285792,113.9177601,1.0,32.0
122.0,22.51445403,113.91841,22.53234008,113.9384312,1.0,32.0
123.0,22.522452356666665,113.9084998,22.5229531,113.92816220000002,3.0,40.0
124.0,22.51517109,113.92757506666668,22.523135633333336,113.94850313333335,3.0,33.0
125.0,22.510434255,113.92431619999999,22.51985924,113.9229437,2.0,32.0
126.0,22.53234008,113.9384312,22.52285792,113.9177601,1.0,31.0
127.0,22.50561336,113.9287441,22.51490573,113.9392088,1.0,31.0
128.0,22.522747369999998,113.92811135,22.51452789,113.90846375,4.0,34.0
129.0,22.51825457,113.9141686,22.5229531,113.9281622,1.0,31.0
130.0,22.52362644,113.9482447,22.52213763,113.9583136,1.0,31.0
131.0,22.50858484,113.932446625,22.52362644,113.9482447,4.0,36.0
132.0,22.5356213225,113.9125846,22.522522175,113.90859222499999,4.0,37.0
133.0,22.53234008,113.93843120000001,22.522452356666665,113.9084998,3.0,34.0
134.0,22.49109274,113.9198366,22.49490753,113.9260922,2.0,33.0
135.0,22.52285792,113.9177601,22.52710773,113.9146163,1.0,30.0
136.0,22.51985924,113.9229437,22.53210632,113.918518,1.0,30.0
137.0,22.491602420000003,113.92529466666667,22.50561336,113.9287441,3.0,44.0
138.0,22.522248740000002,113.91755345,22.52362644,113.9482447,2.0,33.0
139.0,22.50089286,113.92459275,22.49613026,113.9186972,2.0,31.0
140.0,22.53210632,113.918518,22.52362644,113.9482447,1.0,30.0
141.0,22.52285792,113.9177601,22.51728917,113.9219989,1.0,30.0
142.0,22.49613026,113.9186972,22.49490753,113.9260922,2.0,33.0
143.0,22.50561336,113.9287441,22.50898084,113.9148553,1.0,29.0
144.0,22.49142112,113.9144863,22.49420056,113.9210162,1.0,29.0
145.0,22.50565173,113.9191966,22.49133041,113.9251423,2.0,38.0
146.0,22.52285792,113.9177601,22.51161797,113.9204401,1.0,29.0
147.0,22.521164741666666,113.93279451666668,22.532878570000005,113.9575926,6.0,44.0
148.0,22.51985924,113.9229437,22.51445403,113.91841,1.0,29.0
149.0,22.51514023,113.9277927,22.53234008,113.9384312,1.0,29.0
150.0,22.522870807999997,113.92814185999998,22.550874370000003,113.9373771,5.0,36.0
151.0,22.51825457,113.9141686,22.52710773,113.9146163,1.0,29.0
152.0,22.53234008,113.9384312,22.51445403,113.91841,1.0,29.0
153.0,22.50089007,113.9245528,22.50624312,113.9105087,1.0,29.0
154.0,22.515768875,113.924676175,22.52362644,113.9482447,4.0,64.0
155.0,22.51514023,113.9277927,22.51007495,113.9243135,1.0,28.0
156.0,22.51728917,113.9219989,22.52285792,113.9177601,1.0,28.0
157.0,22.49613026,113.9186972,22.4962247,113.9284344,1.0,28.0
158.0,22.50089007,113.9245528,22.49142112,113.9144863,1.0,28.0
159.0,22.53234008,113.9384312,22.505966145000002,113.92941925,2.0,30.0
160.0,22.49133041,113.9251423,22.50565173,113.9191966,2.0,32.0
161.0,22.49490753,113.9260922,22.50095917,113.9331735,2.0,31.0
162.0,22.50089286,113.92459275,22.50561336,113.9287441,2.0,32.0
163.0,22.51825457,113.9141686,22.51407387,113.908521,1.0,28.0
164.0,22.51445403,113.91841,22.52782634,113.9230867,1.0,28.0
165.0,22.51031448666667,113.92431529999999,22.522581253333332,113.90867256666667,3.0,30.0
166.0,22.528815215,113.92315325,22.5237443,113.94844495000001,4.0,40.0
167.0,22.53210632,113.918518,22.510434255,113.92431619999999,2.0,29.0
168.0,22.5129641,113.9006517,22.52273163,113.9088695,2.0,29.0
169.0,22.491602420000003,113.92529466666667,22.50089007,113.9245528,3.0,46.0
170.0,22.52273163,113.9088695,22.53234008,113.9384312,1.0,28.0
171.0,22.51007495,113.9243135,22.51445403,113.91841,1.0,28.0
172.0,22.5229531,113.9281622,22.52285792,113.9177601,1.0,28.0
173.0,22.53210632,113.918518,22.51985924,113.9229437,1.0,28.0
174.0,22.51456784,113.9237759,22.522506065,113.9085741,2.0,29.0
175.0,22.522581253333332,113.90867256666667,22.51307579666667,113.90053156666666,3.0,29.0
176.0,22.522538285,113.90861035,22.52710773,113.9146163,2.0,29.0
177.0,22.51407387,113.908521,22.5229531,113.9281622,1.0,27.0
178.0,22.522815946666665,113.92812829999998,22.52966483,113.91031826666666,3.0,31.0
179.0,22.5229531,113.9281622,22.522506065,113.9085741,2.0,30.0
180.0,22.52278937,113.8890774,22.51329919,113.9002913,1.0,27.0
181.0,22.51490573,113.9392088,22.52782634,113.9230867,1.0,27.0
182.0,22.50561336,113.9287441,22.51445403,113.91841,1.0,27.0
183.0,22.487248049999998,113.91010595,22.49490753,113.9260922,4.0,65.0
184.0,22.5229531,113.9281622,22.51985924,113.9229437,1.0,27.0
185.0,22.51490573,113.9392088,22.51919465,113.9332076,1.0,27.0
186.0,22.49613026,113.9186972,22.50089286,113.92459275,2.0,31.0
187.0,22.510434255,113.92431619999999,22.50565173,113.9191966,2.0,29.0
188.0,22.51490573,113.9392088,22.51573982,113.92534835000001,2.0,33.0
189.0,22.510434255,113.92431619999999,22.5229531,113.9281622,2.0,32.0
190.0,22.51490573,113.9392088,22.51445403,113.91841,1.0,27.0
191.0,22.5229531,113.9281622,22.526953595000002,113.9146614,2.0,30.0
192.0,22.50561336,113.9287441,22.491602420000003,113.92529466666667,3.0,35.0
193.0,22.50561336,113.9287441,22.49613026,113.9186972,1.0,26.0
194.0,22.50565173,113.9191966,22.510434255,113.92431619999999,2.0,29.0
195.0,22.4962247,113.9284344,22.49613026,113.9186972,1.0,26.0
196.0,22.50561336,113.9287441,22.51514023,113.9277927,1.0,26.0
197.0,22.51490573,113.9392088,22.51985924,113.9229437,1.0,26.0
198.0,22.51985924,113.9229437,22.51514023,113.9277927,1.0,26.0
199.0,22.51445403,113.91841,22.521489245,113.91232175,2.0,29.0
200.0,22.51985924,113.9229437,22.5229531,113.9281622,1.0,26.0
201.0,22.50624312,113.9105087,22.50089007,113.9245528,1.0,26.0
202.0,22.51445403,113.91841,22.53023343,113.9161947,1.0,26.0
203.0,22.51985924,113.9229437,22.53234008,113.9384312,1.0,26.0
204.0,22.51445403,113.91841,22.51985924,113.9229437,1.0,26.0
205.0,22.51445403,113.91841,22.51825457,113.9141686,1.0,26.0
206.0,22.52017943,113.9161761,22.51445403,113.91841,1.0,26.0
207.0,22.51443777,113.93970726666667,22.522557966666668,113.95801203333333,3.0,29.0
208.0,22.53210632,113.918518,22.51728917,113.9219989,1.0,26.0
209.0,22.52285792,113.9177601,22.52782634,113.9230867,1.0,26.0
210.0,22.510434255,113.92431619999999,22.52362644,113.9482447,2.0,28.0
211.0,22.49613026,113.9186972,22.50624312,113.9105087,1.0,26.0
212.0,22.51445403,113.91841,22.54196996,113.9272846,1.0,25.0
213.0,22.524746545,113.9167853,22.51445403,113.91841,2.0,30.0
214.0,22.52402747,113.94942645,22.55357107,113.9533063,2.0,30.0
215.0,22.51445403,113.91841,22.51007495,113.9243135,1.0,25.0
216.0,22.52326621,113.9131888,22.53210632,113.918518,1.0,25.0
217.0,22.51161797,113.9204401,22.52285792,113.9177601,1.0,25.0
218.0,22.53210632,113.918518,22.50561336,113.9287441,1.0,25.0
219.0,22.522506065,113.9085741,22.515081465,113.92434644999999,4.0,38.0
220.0,22.522747369999998,113.92811135,22.52782634,113.9230867,2.0,26.0
221.0,22.53263513,113.9474542,22.52362644,113.9482447,1.0,25.0
223.0,22.51514023,113.9277927,22.51985924,113.9229437,1.0,25.0
224.0,22.510434255,113.92431619999999,22.51490573,113.9392088,2.0,35.0
225.0,22.51794295,113.9145116,22.51490573,113.9392088,2.0,28.0
226.0,22.49490753,113.9260922,22.51449706,113.91914349999999,4.0,31.0
227.0,22.52782634,113.9230867,22.53251927,113.9281127,1.0,25.0
228.0,22.52285792,113.9177601,22.51985924,113.9229437,1.0,25.0
229.0,22.51407387,113.908521,22.51825457,113.9141686,1.0,25.0
230.0,22.51919465,113.9332076,22.5229531,113.9281622,1.0,25.0
231.0,22.551133162857145,113.93851584285714,22.52283554,113.92813314285713,7.0,55.0
232.0,22.53287857,113.9575926,22.520701719999998,113.93274118000002,5.0,33.0
233.0,22.51985924,113.9229437,22.52285792,113.9177601,1.0,24.0
234.0,22.508430335,113.93318545,22.51490573,113.9392088,2.0,25.0
235.0,22.51728917,113.9219989,22.53210632,113.918518,1.0,24.0
236.0,22.522815946666665,113.92812829999998,22.53559797666667,113.91251166666666,3.0,39.0
237.0,22.53287857,113.9575926,22.51934534,113.9432489,1.0,24.0
238.0,22.50561336,113.9287441,22.53210632,113.918518,1.0,24.0
239.0,22.49493817,113.9264529,22.50089007,113.9245528,1.0,24.0
240.0,22.51449706,113.91914349999999,22.52362644,113.9482447,2.0,31.0
241.0,22.54196996,113.9272846,22.51445403,113.91841,1.0,24.0
242.0,22.51919465,113.9332076,22.52362644,113.9482447,1.0,24.0
243.0,22.51514023,113.9277927,22.54239185,113.9484862,2.0,27.0
244.0,22.51445403,113.91841,22.526953595000002,113.9146614,2.0,27.0
245.0,22.5229531,113.9281622,22.53023343,113.9161947,1.0,24.0
246.0,22.51007495,113.9243135,22.51825457,113.9141686,1.0,24.0
247.0,22.522581253333332,113.90867256666667,22.514376549999998,113.90848283333332,3.0,27.0
248.0,22.53117593,113.8972462,22.52278937,113.8890774,1.0,24.0
249.0,22.49109274,113.9198366,22.48688912,113.9095947,1.0,24.0
250.0,22.51076655,113.8979004,22.51079692,113.897586,1.0,24.0
251.0,22.49142112,113.9144863,22.50089286,113.92459275,2.0,24.0
252.0,22.51449706,113.91914349999999,22.49490753,113.9260922,4.0,35.0
253.0,22.49109274,113.9198366,22.49161297,113.9248359,1.0,23.0
254.0,22.50561336,113.9287441,22.53234008,113.9384312,1.0,23.0
255.0,22.504848745,113.89085725000001,22.51329919,113.9002913,2.0,24.0
256.0,22.52224874,113.91755345,22.510434255,113.92431619999999,4.0,33.0
257.0,22.51329919,113.9002913,22.51971787,113.9104295,1.0,23.0
258.0,22.53123256,113.9084504,22.522747369999998,113.92811135,2.0,24.0
259.0,22.50095917,113.9331735,22.49490753,113.9260922,2.0,25.0
260.0,22.50565173,113.9191966,22.5229531,113.9281622,1.0,23.0
261.0,22.52278937,113.8890774,22.53117593,113.8972462,1.0,23.0
262.0,22.49133041,113.9251423,22.49613026,113.9186972,2.0,25.0
263.0,22.53263513,113.9474542,22.51919465,113.9332076,1.0,23.0
264.0,22.51490573,113.9392088,22.50872193,113.9329513,1.0,23.0
265.0,22.52362644,113.9482447,22.527599000000002,113.93359559999999,2.0,27.0
266.0,22.51456784,113.9237759,22.51490573,113.9392088,1.0,23.0
267.0,22.549964096,113.91858067999999,22.523240877999996,113.92792714,5.0,29.0
268.0,22.53210632,113.918518,22.52804613,113.9332156,1.0,23.0
269.0,22.52782634,113.9230867,22.51490573,113.9392088,1.0,23.0
270.0,22.510434255,113.92431619999999,22.49109274,113.9198366,2.0,24.0
271.0,22.51573982,113.92534835000001,22.51490573,113.9392088,2.0,30.0
272.0,22.49490753,113.9260922,22.51490573,113.9392088,2.0,26.0
273.0,22.526953595000002,113.9146614,22.53234008,113.9384312,2.0,27.0
274.0,22.50561336,113.9287441,22.50872193,113.9329513,1.0,22.0
275.0,22.53287857,113.9575926,22.52409117,113.9382144,1.0,22.0
