who,origin_lat,origin_lng,destination_lat,destination_lng,age,gender,index,count,lng,lat,id,cluster,ori_cluster,dest_cluster,fnid_o,fnid_d,similarity
54759064,22.51007495,113.9243135,22.50089007,113.9245528,7,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
54759064,22.51007495,113.9243135,22.50089007,113.9245528,7,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
56847132,22.51007495,113.9243135,22.50089007,113.9245528,6,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
60663604,22.51007495,113.9243135,22.50089007,113.9245528,9,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
67183759,22.51007495,113.9243135,22.50089007,113.9245528,6,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
67833716,22.51007495,113.9243135,22.50089007,113.9245528,9,2,16658,38,113.92443315,22.50548251,83,83,144,312,10067.0,8639.0,0.01831563888873418
69153877,22.51007495,113.9243135,22.50089007,113.9245528,11,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
75687940,22.51007495,113.9243135,22.50089007,113.9245528,5,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
76642352,22.51007495,113.9243135,22.50089007,113.9245528,10,1,16658,38,113.92443315,22.50548251,83,83,143,311,10067.0,8639.0,0.01831563888873418
17302555,22.51079356,113.9243189,22.50089007,113.9245528,10,2,17160,7,113.92443585,22.505841815,2108,83,144,312,10067.0,8639.0,0.01831563888873418
24158521,22.51079356,113.9243189,22.50089007,113.9245528,9,2,17160,7,113.92443585,22.505841815,2108,83,144,312,10067.0,8639.0,0.01831563888873418
33493500,22.51079356,113.9243189,22.50089007,113.9245528,10,1,17160,7,113.92443585,22.505841815,2108,83,143,311,10067.0,8639.0,0.01831563888873418
33493500,22.51079356,113.9243189,22.50089007,113.9245528,10,1,17160,7,113.92443585,22.505841815,2108,83,143,311,10067.0,8639.0,0.01831563888873418
33493500,22.51079356,113.9243189,22.50089007,113.9245528,10,1,17160,7,113.92443585,22.505841815,2108,83,143,311,10067.0,8639.0,0.01831563888873418
57430194,22.51079356,113.9243189,22.50089007,113.9245528,6,1,17160,7,113.92443585,22.505841815,2108,83,143,311,10067.0,8639.0,0.01831563888873418
61550788,22.51079356,113.9243189,22.50089007,113.9245528,6,1,17160,7,113.92443585,22.505841815,2108,83,143,311,10067.0,8639.0,0.01831563888873418
